Feature,Importance,Rank_MAR,MAR_Level
age,0.023530948116531895,5.0,5
gender,0.009963844389718228,6.0,5
hemoglobin_g_dl,0.02546378770987471,4.0,5
wbc_count,0.1824439361255371,1.0,5
differential_count,0.003863004623815663,8.0,5
rbc_count,0.004216631078645851,7.0,5
platelet_count,0.14135436966903467,2.0,5
platelet_distribution_width,0.03166994586783267,3.0,5
age,0.023530948116531895,5.0,5
gender,0.009963844389718228,6.0,5
hemoglobin_g_dl,0.02546378770987471,4.0,5
wbc_count,0.1824439361255371,1.0,5
differential_count,0.003863004623815663,8.0,5
rbc_count,0.004216631078645851,7.0,5
platelet_count,0.14135436966903467,2.0,5
platelet_distribution_width,0.03166994586783267,3.0,5
age,0.020948837780474776,5.0,10
gender,0.010381069424319185,6.0,10
hemoglobin_g_dl,0.02639395574344519,4.0,10
wbc_count,0.19111653412282528,1.0,10
differential_count,0.004021437278643422,8.0,10
rbc_count,0.006238877081812855,7.0,10
platelet_count,0.13609095434126756,2.0,10
platelet_distribution_width,0.03449436543982005,3.0,10
age,0.020948837780474776,5.0,10
gender,0.010381069424319185,6.0,10
hemoglobin_g_dl,0.02639395574344519,4.0,10
wbc_count,0.19111653412282528,1.0,10
differential_count,0.004021437278643422,8.0,10
rbc_count,0.006238877081812855,7.0,10
platelet_count,0.13609095434126756,2.0,10
platelet_distribution_width,0.03449436543982005,3.0,10
age,0.021736149612105158,5.0,20
gender,0.009391790618570319,7.0,20
hemoglobin_g_dl,0.023775702889548934,4.0,20
wbc_count,0.1617993077672481,1.0,20
differential_count,0.0102325807992769,6.0,20
rbc_count,0.005202577886553227,8.0,20
platelet_count,0.15367719627303367,2.0,20
platelet_distribution_width,0.03574674367257071,3.0,20
age,0.021736149612105158,5.0,20
gender,0.009391790618570319,7.0,20
hemoglobin_g_dl,0.023775702889548934,4.0,20
wbc_count,0.1617993077672481,1.0,20
differential_count,0.0102325807992769,6.0,20
rbc_count,0.005202577886553227,8.0,20
platelet_count,0.15367719627303367,2.0,20
platelet_distribution_width,0.03574674367257071,3.0,20
age,0.01891765507043758,5.0,30
gender,0.009544674570180905,7.0,30
hemoglobin_g_dl,0.022898205453983043,4.0,30
wbc_count,0.17831030044266272,1.0,30
differential_count,0.009692943437954573,6.0,30
rbc_count,0.006202452966058419,8.0,30
platelet_count,0.14627384996627257,2.0,30
platelet_distribution_width,0.031402102817148,3.0,30
age,0.01891765507043758,5.0,30
gender,0.009544674570180905,7.0,30
hemoglobin_g_dl,0.022898205453983043,4.0,30
wbc_count,0.17831030044266272,1.0,30
differential_count,0.009692943437954573,6.0,30
rbc_count,0.006202452966058419,8.0,30
platelet_count,0.14627384996627257,2.0,30
platelet_distribution_width,0.031402102817148,3.0,30
age,0.020612797004275957,4.0,40
gender,0.010598425006119731,6.0,40
hemoglobin_g_dl,0.019350671234945795,5.0,40
wbc_count,0.1836757932048024,1.0,40
differential_count,0.004061787876780016,8.0,40
rbc_count,0.009412310096001495,7.0,40
platelet_count,0.14488631650490322,2.0,40
platelet_distribution_width,0.03484006088648726,3.0,40
age,0.020612797004275957,4.0,40
gender,0.010598425006119731,6.0,40
hemoglobin_g_dl,0.019350671234945795,5.0,40
wbc_count,0.1836757932048024,1.0,40
differential_count,0.004061787876780016,8.0,40
rbc_count,0.009412310096001495,7.0,40
platelet_count,0.14488631650490322,2.0,40
platelet_distribution_width,0.03484006088648726,3.0,40
age,0.017690218248855298,4.0,50
gender,0.009231157289833165,7.0,50
